"-"
"Bischöfliches Offizialat Rotteburg-Stuttgart","5540249-5"
"Bischöfliches Offizialat Rottenburg-Stuttgart","5540249-5"
"Bischöfliches Offizialat Vechta","4321819-2"
"Bischöfliches Ordinariat Regensburg"
"Bischöfliches Ordinariat Speyer"
"Bischöfliches Ordinariat von Freiburg"
"Bischöfliches Ordinariat von Rottenburg-Stuttgart"
"Bischöfliches Rechtsamt, Speyer"
"Bischöfliches Schulamt S"
"Bischöflioches Offizialat Vechta","4321819-2"
"Bischof Militär Deutschland"
"Bischof Militär, Deutschland"
"Bischofskollegium","4145699-3"
"Bischofskonferenz","216790-6"
"Bischofskonferenzen von England und Wales","16289988-9"
"Bischofskonferenz von Italien","127537-9"
"Bischofskongregation","7558621-6"
"Bischofsvikar-B"
"Bischof vom Aachen"
"Bischof von  Aachen"
"Bischof von Aachen"
"Bischof von Augsburg"
"Bischof von Basel"
"Bischof von Bozen-Brixen"
"Bischof von Ciudad Rodrigo"
"Bischof von Dresden"
"Bischof von Dresden Meißen"
"Bischof von Dresden-Meißen"
"Bischof von Eichstätt"
"Bischof von Eisenstadt"
"Bischof von Erfurt"
"Bischof von Essen"
"Bischof von Feldkirch"
"Bischof von Feldkirch, Bischof von St. Pölten"
"Bischof von Freiburg"
"Bischof von Fulda"
"Bischof  von Görlitz"
"Bischof von Görlitz"
"Bischof von Graz"
"Bischof von Graz-Seckau"
"Bischof von Gurk"
"Bischof von Hildeheim"
"Bischof von Hildesheim"
"Bischof von Hildesheim u. a."
"Bischof von Innsbruck"
"Bischof von Limburg"
"Bischof von Limburg, Bischof von Mainz,  Bischof von Speyer, Bischof von Trier"
"Bischof von Limburg, Bischof von Mainz, Bischof von Speyer, Bischof von Trier"
"Bischof von Linz"
"Bischof von Luxemburg"
